,날짜,OIL_CL,OIL_DU,OIL_BRT
450,2008-06-28,139.10446607776788,125.53727511598821,138.7669701218861
451,2008-06-29,139.54451048900754,126.85433527214678,139.26832750554496
452,2008-06-30,140.0,127.76,140.6
453,2008-07-01,140.97,135.4,141.46
454,2008-07-02,143.57,138.71,144.81
455,2008-07-03,145.29,140.05,146.6
456,2008-07-04,145.84202119462006,137.94889331263033,143.59603753933447
457,2008-07-05,145.5688515088916,137.08680109453903,142.54184640774946
458,2008-07-06,144.01228813169013,136.49323985662195,141.67055646323746
459,2008-07-07,141.37,136.95,142.66
460,2008-07-08,136.04,133.76,139.41
461,2008-07-09,136.05,134.36,138.49
462,2008-07-10,141.65,138.78,139.21
463,2008-07-11,145.08,139.28,145.57
464,2008-07-12,149.47662583329114,137.5005469779275,149.3785577826813
465,2008-07-13,148.52321116711252,137.44860755766604,149.81971360034686
466,2008-07-14,145.18,139.1,145.33
467,2008-07-15,138.21609609194132,136.54460760538888,139.13520679577132
468,2008-07-16,134.6,133.95,135.81
469,2008-07-17,129.29,131.68,131.07
470,2008-07-18,128.88,132.75,130.19
471,2008-07-19,128.23751504392234,132.56103619861366,130.09606694535665
472,2008-07-20,127.87485085826295,131.92328869858744,129.85857706757147
473,2008-07-21,131.04,134.09,132.61
474,2008-07-22,127.95,131.87,129.55
475,2008-07-23,124.44,132.11,127.53
476,2008-07-24,125.49,132.07,126.44
477,2008-07-25,123.26,130.65,124.52
478,2008-07-26,122.9374962393473,131.98907520863298,124.14124396853163
479,2008-07-27,122.72474645586992,132.084988599618,123.57268091236939
480,2008-07-28,124.73,131.65,125.84
481,2008-07-29,122.19,130.79,122.71
482,2008-07-30,126.77,131.73,123.73
483,2008-07-31,124.08,130.99,123.98
484,2008-08-01,125.1,122.17,124.18
485,2008-08-02,124.4254555153581,121.4521417765395,123.02541845592188
486,2008-08-03,123.28729450860114,119.34347622927356,121.85346201227003
487,2008-08-04,121.41,117.59,120.68
488,2008-08-05,119.17,116.97,117.7
489,2008-08-06,118.58,117.1,117.0
490,2008-08-07,120.02,117.4,117.86
491,2008-08-08,115.2,113.52,113.33
492,2008-08-09,116.30493783199377,114.41531745008507,113.9238659307459
493,2008-08-10,115.78454853184678,113.91482350496912,113.22983571271482
494,2008-08-11,114.45,113.26,112.67
495,2008-08-12,113.01,113.01,111.15
496,2008-08-13,116.0,114.21,113.47
497,2008-08-14,115.01,112.1,112.64
498,2008-08-15,113.77,111.9,113.7
499,2008-08-16,113.24108550802987,112.37934309382523,112.99770616670276
500,2008-08-17,113.52369838072462,112.28065475575521,113.49994380644264
501,2008-08-18,112.87,111.38,113.12
502,2008-08-19,114.53,112.07,114.47
503,2008-08-20,114.98,112.21,114.36
504,2008-08-21,121.18,112.43,120.16
505,2008-08-22,114.59,111.48,113.92
506,2008-08-23,116.25925386665823,112.25068756327485,116.13753440794014
507,2008-08-24,115.83521078028882,112.33938683718475,115.84731802284803
508,2008-08-25,115.11,113.85,114.03
509,2008-08-26,116.27,112.96,114.63
510,2008-08-27,118.15,112.7,116.22
511,2008-08-28,115.59,112.89,114.17
512,2008-08-29,115.46,112.89,114.05
513,2008-08-30,115.1759718303877,111.4992086785391,112.11898748834665
514,2008-08-31,114.28660564570096,110.68711870552876,111.25428052432505
515,2008-09-01,113.11771350779563,109.65998131161709,110.32461779494734
516,2008-09-02,111.6692954166718,108.41779649680413,109.32999930021352
517,2008-09-03,109.35,105.2,108.06
518,2008-09-04,107.89,103.52,106.3
519,2008-09-05,106.23,102.13,104.09
520,2008-09-06,105.58174203079233,102.76608426293801,104.70196766771673
521,2008-09-07,104.68121079308793,101.59005219259542,103.38257034620217
522,2008-09-08,106.34,102.26,103.44
523,2008-09-09,103.26,102.15,100.34
524,2008-09-10,102.58,100.11,98.97
525,2008-09-11,102.48631572046544,97.96775053556678,97.71290482366788
526,2008-09-12,101.18,97.97,97.58
527,2008-09-13,99.65656005629953,96.75095094201396,95.13204101297707
528,2008-09-14,97.63908900443896,96.28753732636979,93.9372865224114
529,2008-09-15,95.71,95.56,92.38
530,2008-09-16,91.15,93.85,89.22
531,2008-09-17,97.16,95.16,94.84
532,2008-09-18,97.88,94.84,95.19
533,2008-09-19,104.55,94.89,99.61
534,2008-09-20,121.13391599054751,95.53686216835627,102.75328809428973
535,2008-09-21,126.04197037799732,95.75005073132924,104.42236658027852
536,2008-09-22,120.92,96.24,106.04
537,2008-09-23,106.61,96.89,103.08
538,2008-09-24,105.73,96.37,102.45
539,2008-09-25,108.02,96.56,104.6
540,2008-09-26,106.89,96.24,103.54
541,2008-09-27,103.2904865872588,96.22057776446232,101.10907638526986
542,2008-09-28,100.60526733871322,95.69450767238973,99.4362394819016
543,2008-09-29,96.37,95.84,93.98
544,2008-09-30,100.64,96.18,98.17
545,2008-10-01,96.85260277593359,92.58248469005314,93.64118447455562
546,2008-10-02,95.81107219077848,91.03387279390137,91.97769237787993
